playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,GS,InnOuts,PO,A,E,DP,PB,WP,awardID,lgID,tie,notes,Award_Category
alonspe01,2019,161,,597,103,155,30,2,53,120,1,0,72,183,6,21,0,3,13,,152,3984,1078,112,12,108,,,TSN Rookie of the Year,NL,,,Not All-Star
alonspe01,2022,160,,597,95,162,27,0,40,131,5,1,67,128,16,12,0,9,17,,133,3425,913,92,8,102,,,Player of the Week,NL,Y,Week of 2022-09-24,Not All-Star
alonspe01,2023,153,154,568,92,123,21,2,46,118,4,1,65,151,6,21,0,4,17,,144,3770,983,122,6,119,,,Player of the Week,NL,,Week of 2023-07-29,Not All-Star
alonspe01,2024,162,162,608,91,146,31,0,34,88,3,0,70,172,4,13,0,4,14,0,159,4237,1179,99,7,117,,,Player of the Week,NL,,Week of 2024-04-13,Not All-Star
alonsyo01,2017,100,,319,52,85,17,0,22,49,1,0,50,88,6,2,0,0,6,,86,2301,728,52,6,77,,,Player of the Week,AL,,Week of 2017-05-06,Not All-Star
alonsyo01,2017,42,,132,20,35,5,0,6,18,1,0,18,30,0,0,0,0,3,,86,2301,728,52,6,77,,,Player of the Week,AL,,Week of 2017-05-06,Not All-Star
alonsyo01,2017,100,,319,52,85,17,0,22,49,1,0,50,88,6,2,0,0,6,,35,909,236,11,4,19,,,Player of the Week,AL,,Week of 2017-05-06,Not All-Star
alonsyo01,2017,42,,132,20,35,5,0,6,18,1,0,18,30,0,0,0,0,3,,35,909,236,11,4,19,,,Player of the Week,AL,,Week of 2017-05-06,Not All-Star
altuvjo01,2014,158,,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,,156,4087,268,459,10,105,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2014,158,,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,,156,4087,268,459,10,105,,,This Year in Baseball Breakout Hitter of the Year,ML,,MLB.com GIBBY,Not All-Star
altuvjo01,2014,158,,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,,156,4087,268,459,10,105,,,This Year in Baseball Breakout Player of the Year,ML,,MLB.com GIBBY,Not All-Star
altuvjo01,2015,154,,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,,153,3992,247,417,5,81,,,Gold Glove,AL,,2B,Not All-Star
altuvjo01,2015,154,,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,,153,3992,247,417,5,81,,,Majestic Athletic Always Game Award,ML,,,Not All-Star
altuvjo01,2015,154,,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,,153,3992,247,417,5,81,,,Player of the Week,AL,Y,Week of 2015-05-03,Not All-Star
altuvjo01,2015,154,,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,,153,3992,247,417,5,81,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,Lou Gehrig Memorial Award,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,Majestic Athletic Always Game Award,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,MLB Players Choice Outstanding Player,AL,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,MLB Players Choice Player of the Year,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,Player of the Month,AL,,June,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,Player of the Week,AL,Y,Week of 2016-04-16,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,TSN All-Star,AL,,2B,All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,147,3921,206,361,7,73,,,TSN Major League Player of the Year,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,Lou Gehrig Memorial Award,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,Majestic Athletic Always Game Award,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,MLB Players Choice Outstanding Player,AL,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,MLB Players Choice Player of the Year,ML,,,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,Player of the Month,AL,,June,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,Player of the Week,AL,Y,Week of 2016-04-16,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,TSN All-Star,AL,,2B,All-Star
altuvjo01,2016,161,,640,108,216,42,5,24,96,30,10,60,70,11,7,3,7,15,,0,12,0,2,0,0,,,TSN Major League Player of the Year,ML,,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Babe Ruth Award,ML,Y,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Hank Aaron Award,AL,,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,MLB Players Choice Outstanding Player,AL,,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,MLB Players Choice Player of the Year,ML,,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Most Valuable Player,AL,,,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Player of the Month,AL,,July,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Player of the Week,AL,,Week of 2017-07-08,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,Silver Slugger,AL,,2B,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,This Year in Baseball Best Major Leaguer,ML,,Esurance,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,This Year in Baseball Best Major Leaguer - Postseason,ML,Y,Esurance,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,This Year in Baseball Best Major Leaguer - Postseason,ML,Y,Esurance,Not All-Star
altuvjo01,2017,153,,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,,148,3850,201,351,10,86,,,TSN All-Star,AL,,2B,All-Star
